Name,Year Published,Play Time,Users Rated
Magic Maze,2017,15,15632
The Republic of Rome,1990,300,3921
Through the Desert,1998,45,12717
Thebes,2007,60,9175
Triumph & Tragedy: European Balance of Power 1936-1945,2015,360,1800
Las Vegas,2012,30,9242
Coup,2012,15,36020
One Night Ultimate Werewolf Daybreak,2015,10,4874
Trains,2012,45,7667
Valeria: Card Kingdoms,2016,45,4124
Taluva,2006,45,7798
Thunderstone Advance: Towers of Ruin,2012,45,4595
Summoner Wars,2009,60,6215
Sidereal Confluence: Remastered Edition,2017,180,2350
Shadows of Brimstone: Swamps of Death,2014,180,2193
Shakespeare,2015,90,3831
Belfort,2011,120,5954
Dixit: Journey,2012,30,4197
The Battle of Five Armies,2014,240,2271
Formula D,2008,60,17148
Betrayal at House on the Hill,2004,60,37065
Pax Renaissance,2016,120,1902
Time's Up!,1999,90,5043
Dice Throne: Season One,2018,40,3802
Smash Up: Awesome Level 9000,2013,45,6499
Luna,2010,100,4487
Defenders of the Realm,2010,90,5217
Cuba Libre,2013,180,2542
Mr. Jack,2006,30,15349
Zombicide: Green Horde,2018,60,2889
ZhanGuo,2014,120,2863
Torres,1999,60,8734
Myrmes,2012,120,5058
Cuba,2007,120,7899
Lord of the Rings: The Confrontation,2002,30,6541
Oceans,2020,90,2782
Wallenstein,2002,150,3502
Warhammer Quest: The Adventure Card Game,2015,60,4910
Star Trek: Ascendancy,2016,180,2622
Fury of Dracula (Second Edition),2005,180,8982
Skull King,2013,30,4115
Medici,1995,60,7146
Exit: The Game - The Pharaoh's Tomb,2016,90,5329
Specter Ops,2015,120,5631
The Downfall of Pompeii,2004,45,7377
Coloretto,2003,30,18014
Leaving Earth,2015,180,2353
Escape: The Curse of the Temple,2012,10,15482
Kingdom Builder,2011,45,19682
Tokaido,2012,45,20663
Elder Sign,2011,90,22154
Steampunk Rally,2015,60,5743
Star Wars: X-Wing (Second Edition),2018,45,1689
Vegas Showdown,2005,75,6080
Cacao,2015,45,8315
Arkwright,2014,240,1999
Up Front,1983,60,2156
Yamataï,2017,80,5451
Eminent Domain,2011,45,9520
Advanced Squad Leader: Starter Kit #1,2004,120,2380
The Networks,2016,90,5269
High Society,1995,30,8929
The Duke,2013,30,3782
Tash-Kalar: Arena of Legends,2013,60,6071
The King's Dilemma,2019,60,1746
Praga Caput Regni,2020,120,1459
Arcadia Quest: Inferno,2017,120,1932
Love Letter: Batman,2015,20,5032
BANG! The Dice Game,2013,15,19826
Mandala,2019,20,2338
K2,2010,60,9076
Space Hulk,1989,45,3638
The Oracle of Delphi,2016,100,4206
Cry Havoc,2016,120,5901
HeroQuest,1989,90,10992
Dawn of the Zeds (Third Edition),2016,120,1584
Dragon Castle,2017,45,5628
Shipyard,2009,120,3715
Century: Eastern Wonders,2018,45,5556
Yspahan,2006,60,7746
Empires: Age of Discovery,2015,150,1890
Between Two Castles of Mad King Ludwig,2018,60,3947
Onirim (Second Edition),2014,15,8119
Middle-Earth Quest,2009,180,3946
Silver & Gold,2019,20,3692
Zombicide Season 2: Prison Outbreak,2013,60,4257
Mexica,2002,90,5063
Coal Baron,2013,75,4305
Crusaders: Thy Will Be Done,2018,60,2675
Ashes Reborn: Rise of the Phoenixborn,2015,120,5123
Between Two Cities,2015,25,9486
Wir sind das Volk!,2014,150,1987
Star Trek: Fleet Captains,2011,120,3153
World Without End,2009,120,4630
Carcassonne: The Castle,2003,30,7567
Ascension: Deckbuilding Game,2010,30,11811
6 nimmt!,1994,45,20629
Summoner Wars: Alliances Master Set,2014,45,1634
Telestrations: 12 Player Party Pack,2011,30,2166
D-Day at Omaha Beach,2009,480,1521
Churchill,2015,300,2373
Saint Petersburg (Second Edition),2014,60,2843
1989: Dawn of Freedom,2012,150,2043
Feudum,2017,180,2726
My Little Scythe,2017,60,3801
Diplomacy,1959,360,12105
Reef,2018,45,6821
Caverna: Cave vs Cave,2017,40,5067
Among the Stars,2012,30,6677
Ex Libris,2017,45,5014
Prêt-à-Porter,2010,90,3362
Super Motherload,2015,75,3358
Warhammer: Invasion,2009,45,5692
Space Hulk: Death Angel - The Card Game,2010,60,12222
Cribbage,1630,30,8302
Washington's War,2010,90,2375
King of New York,2014,40,14174
Villagers,2019,60,4182
Vast: The Crystal Caverns,2016,75,5833
Conflict of Heroes: Awakening the Bear! - Russia 1941-42,2008,120,2975
Deep Sea Adventure,2014,30,10755
Vasco da Gama,2009,120,4289
The Mind,2018,15,19317
Kanagawa,2016,45,7036
Wits & Wagers,2005,25,13372
Smartphone Inc.,2018,90,2047
Panamax,2014,100,3574
Exit: The Game - The Secret Lab,2016,150,5581
Oh My Goods!,2015,30,9383
13 Days: The Cuban Missile Crisis,2016,45,3758
Dungeons & Dragons: The Legend of Drizzt Board Game,2011,60,5572
Tribune: Primus Inter Pares,2007,120,4421
Napoleon's Triumph,2007,180,1699
Yedo,2012,180,3474
Blue Moon City,2006,50,7697
Disney Villainous,2018,50,9955
One Deck Dungeon,2016,45,8027
Finca,2009,45,6818
Marvel Dice Masters: Avengers vs. X-Men,2014,60,5534
Tajemnicze Domostwo,2013,60,4882
XCOM: The Board Game,2015,120,7891
Spyfall,2014,15,18226
City of the Big Shoulders,2019,180,1729
FUSE,2015,10,7036
Squad Leader,1977,60,3154
Warhammer Underworlds: Shadespire,2017,30,2532
Blokus,2000,20,22895
Jambo,2004,45,7965
Lords of Xidit,2014,90,5261
Century: A New World,2019,45,2880
Civilization: A New Dawn,2017,120,4283
Zombie Kidz Evolution,2018,15,1918
The Pursuit of Happiness,2015,90,4107
Cooper Island,2019,120,2080
Reef Encounter,2004,120,4970
ZÈRTZ,1999,60,3915
A Fake Artist Goes to New York,2012,20,4790
Combat Commander: Pacific,2008,180,1472
Scoville,2014,90,4769
Draftosaurus,2019,15,4703
Unlock!: Heroic Adventures,2018,60,1835
Tinners' Trail,2008,90,3811
Treasure Island,2018,45,3747
Red7,2014,30,12692
King of Tokyo: Dark Edition,2020,30,1854
Black Angel,2019,120,3027
Star Wars: The Card Game,2012,60,5328
Spyrium,2013,75,5776
Summoner Wars: Phoenix Elves vs Tundra Orcs,2009,30,2559
AuZtralia,2018,120,3093
Whitehall Mystery,2017,60,2353
Outlive,2017,110,3581
Virgin Queen,2012,420,1553
Union Pacific,1999,90,4177
The Estates,2018,60,2551
In the Hall of the Mountain King,2019,90,2029
Brew Crafters,2013,90,2802
Conflict of Heroes: Awakening the Bear! - Operation Barbarossa 1941 (Second Edition),2012,180,1717
Friedrich,2004,210,2506
Legendary: A Marvel Deck Building Game - Villains,2014,45,2544
Hyperborea,2014,150,4393
Carcassonne: The City,2004,45,4210
Bonfire,2020,100,1585
Dogs of War,2014,75,2536
Not Alone,2016,45,7959
Perudo,1800,30,12606
Ricochet Robots,1999,30,8014
New Frontiers,2018,75,2189
Summoner Wars: Guild Dwarves vs Cave Goblins,2009,30,2329
Fugitive,2017,20,3922
Ca$h 'n Guns (Second Edition),2014,30,12627
My City,2020,30,1722
Celestia,2015,30,8395
Thunderstone,2009,60,10086
878 Vikings: Invasions of England,2017,120,2491
San Marco,2001,90,4241
Bridge,1925,60,2891
Genoa,2001,120,5910
Smash Up: Science Fiction Double Feature,2014,45,3677
Santiago,2003,75,4822
The Palaces of Carrara,2012,60,4066
Maharaja: The Game of Palace Building in India,2004,90,4872
Homesteaders,2009,90,3482
Last Night on Earth: The Zombie Game,2007,90,13531
Container,2007,90,4381
Morels,2012,30,7289
Akrotiri,2014,45,3632
Age of Industry,2010,120,2857
Rhino Hero: Super Battle,2017,20,3467
Tragedy Looper,2011,120,3974
Nova Luna,2019,60,2767
Signorie,2015,120,2635
Heroscape Master Set: Swarm of the Marro,2007,60,2267
Ascension: Storm of Souls,2011,30,3379
Roll Through the Ages: The Bronze Age,2008,45,11497
Louis XIV,2005,100,5343
Core Worlds,2011,120,3973
CO₂: Second Chance,2018,120,2125
Diamant,2005,30,17088
Forbidden Island,2010,30,42018
Kanban EV,2020,180,965
Hawaii,2011,90,4192
The Castles of Burgundy: The Card Game,2016,60,5804
Web of Power,2000,60,3350
Rhino Hero,2011,15,8368
Pictomania,2011,25,3242
Thunder Alley,2014,90,3139
Tumblin-Dice,2004,45,3891
Kitchen Rush,2017,45,2750
Unfair,2017,125,3613
Gentes,2017,90,2391
Catacombs (Third Edition),2015,90,2241
Adrenaline,2016,60,5541
Dungeons & Dragons: Wrath of Ashardalon Board Game,2011,60,5858
Tiny Epic Quest,2017,60,6102
Legacy: The Testament of Duke de Crecy,2013,60,4010
Can't Stop,1980,30,13262
Pandemic: Rising Tide,2017,45,2081
